part_num,name,part_cat_id
3001,Brick 2 x 4,11
3002,Brick 2 x 3,11
3003,Brick 2 x 2,11
3004,Brick 1 x 2,11
3008,Brick 1 x 8,11
3020,Plate 2 x 4,14
3021,Plate 2 x 3,14
3022,Plate 2 x 2,14
3023,Plate 1 x 2,14
3024,Plate 1 x 1,14
3035,Plate 4 x 8,14
3036,Plate 6 x 8,14
3068b,Tile 2 x 2 with Groove,19
3069b,Tile 1 x 2 with Groove,19
3070b,Tile 1 x 1 with Groove,19
397,Baseplate 10 x 16,1
40234,Rat,28
41749,Wedge 8 x 3 x 2 Open Right,6
4183,Glass for Train Door,16
4196,Duplo Plate 6 x 12,4
800,Brick Special 2 x 4 with Wheels Holder for Car Steering Gear Axle,29
80045,Road Sign Round with No Parking Print,38
85944,Minifig Helmet Spiked with Flat Chin Protector,27